ID,Name,Height,Weight,Age,Sex,Profession,Salary,Количество Машин
34,Воробьёв Прохор,172.0,115.0,21,м,бухгалтер,275000,1
35,Владимиров Константин,194.0,77.0,22,м,инженер,22000,0
36,Овчинников Илья,175.0,84.0,21,м,сантехник,433000,1
37,Якушев Платон,166.0,98.0,80,м,автослесарь,341000,0
38,Сафонов Ян,172.0,90.0,64,м,бухгалтер,261000,0
39,Фокин Никанор,173.0,50.0,19,м,врач,62000,1
40,Маслов Климент,166.0,91.0,64,м,сантехник,263000,1
41,Лебедев Вячеслав,171.0,102.0,77,м,продавец,11000,0
42,Фомичёв Владимир,177.0,108.0,62,м,инженер,199000,0
43,Журавлёв Всеволод,180.0,74.0,69,м,студент,53000,3
44,Зуев Давид,186.0,82.0,41,м,бухгалтер,118000,1
45,Аксёнов Максим,168.0,110.0,26,м,программист,56000,1
48,Матвеев Дамир,170.0,106.0,25,м,автослесарь,131000,0
49,Самойлов Потап,175.0,104.0,72,м,студент,118000,1
50,Ситников Иеремия,184.0,73.0,74,м,преподаватель,361000,1
51,Крылов Самсон,192.0,77.0,40,м,автослесарь,279000,0
52,Константинов Никодим,191.0,90.0,35,м,студент,231000,0
53,Якушев Ренат,171.0,114.0,86,м,бухгалтер,187000,1
55,Белозёров Ярослав,173.0,105.0,61,м,бухгалтер,43000,0
57,Сергеев Кондрат,180.0,119.0,41,м,программист,394000,0
58,Доронин Мартын,190.0,118.0,19,м,программист,347000,0
61,Пахомов Николай,180.0,67.0,58,м,программист,46000,0
62,Наумов Августин,194.0,88.0,71,м,продавец,102000,0
63,Зыков Болеслав,187.0,74.0,34,м,бухгалтер,421000,1
64,Исаев Августин,179.0,82.0,71,м,преподаватель,460000,1
65,Белов Савва,189.0,112.0,54,м,бухгалтер,301000,0
66,Крюков Макарий,182.0,75.0,21,м,бухгалтер,156000,1
67,Киселёв Марк,186.0,87.0,89,м,сантехник,337000,3
68,Матвеев Филат,165.0,107.0,53,м,инженер,233000,1
69,Селиверстов Сидор,189.0,93.0,77,м,инженер,24000,0
70,Кошелев Архип,171.0,50.0,73,м,продавец,487000,0
71,Уваров Семён,166.0,115.0,55,м,врач,299000,0
72,Филатов Леонид,179.0,59.0,88,м,инженер,71000,0
74,Яковлев Савва,165.0,60.0,22,м,студент,65000,0
75,Кабанов Антоний,172.0,50.0,32,м,инженер,452000,1
76,Игнатов Анастасий,186.0,76.0,71,м,продавец,381000,0
77,Горбунов Самсон,165.0,58.0,42,м,студент,418000,0
78,Беляев Леонтий,171.0,91.0,26,м,студент,445000,1
80,Ефремов Марк,184.0,79.0,33,м,врач,162000,2
81,Родионов Данислав,191.0,108.0,47,м,бухгалтер,105000,0
82,Хохлов Тарас,179.0,93.0,55,м,преподаватель,364000,0
83,Ершов Терентий,174.0,107.0,66,м,инженер,200000,0
84,Родионов Митрофан,184.0,112.0,45,м,врач,444000,0
85,Ильин Фаддей,178.0,52.0,86,м,бухгалтер,462000,0
86,Панов Вениамин,174.0,88.0,46,м,студент,350000,0
87,Титов Влас,176.0,99.0,48,м,преподаватель,352000,1
88,Суворов Андрей,189.0,110.0,18,м,сантехник,97000,0
89,Горшков Ефрем,168.0,105.0,54,м,студент,195000,1
90,Петухов Захар,175.0,95.0,21,м,сантехник,443000,0
91,Беспалов Игнат,166.0,86.0,22,м,инженер,318000,0
93,Пахомов Кирилл,175.0,52.0,29,м,сантехник,326000,0
94,Фёдоров Борислав,193.0,73.0,89,м,продавец,141000,0
95,Воробьёв Климент,184.0,90.0,31,м,автослесарь,248000,0
96,Корнилов Радий,180.0,112.0,34,м,сантехник,237000,1
97,Воронов Радослав,170.0,68.0,69,м,инженер,453000,1
98,Максимов Альберт,166.0,90.0,89,м,сантехник,209000,0
99,Федотов Тимофей,174.0,73.0,51,м,студент,70000,0
100,Сафонов Касьян,192.0,108.0,64,м,бухгалтер,382000,1
101,Лыткин Михаил,177.0,90.0,60,м,студент,43000,0
102,Чернов Моисей,187.0,118.0,24,м,инженер,486000,0
103,Горшков Денис,169.0,95.0,75,м,автослесарь,423000,0
104,Щербаков Ростислав,171.0,104.0,75,м,инженер,451000,1
105,Ширяев Булат,172.0,58.0,82,м,студент,42000,2
106,Кудряшов Емельян,166.0,99.0,80,м,бухгалтер,188000,1
107,Пестов Матвей,180.0,98.0,26,м,бухгалтер,165000,2
108,Меркушев Ефрем,179.0,109.0,35,м,преподаватель,91000,0
109,Владимиров Модест,193.0,109.0,26,м,сантехник,414000,0
110,Архипов Касьян,190.0,95.0,68,м,автослесарь,150000,3
111,Буров Ринат,177.0,57.0,77,м,программист,406000,1
112,Александров Семен,189.0,118.0,73,м,врач,430000,0
113,Иванков Кирилл,169.0,78.0,78,м,студент,403000,1
114,Комиссаров Мартын,183.0,84.0,26,м,студент,143000,0
115,Кабанов Юрий,185.0,105.0,68,м,преподаватель,353000,0
116,Давыдов Алексей,186.0,103.0,70,м,программист,384000,0
117,Харитонов Эльдар,174.0,63.0,88,м,студент,31000,0
119,Муравьёв Демид,176.0,87.0,23,м,инженер,137000,1
120,Поляков Диомид,185.0,107.0,69,м,продавец,299000,1
121,Яковлев Денис,172.0,69.0,46,м,продавец,410000,1
122,Дроздов Никифор,167.0,119.0,58,м,автослесарь,36000,0
123,Рогов Вилен,185.0,94.0,29,м,бухгалтер,470000,1
124,Игнатов Арсений,172.0,58.0,58,м,инженер,80000,0
125,Коновалов Демид,170.0,88.0,21,м,сантехник,377000,0
126,Абрамов Эдуард,168.0,94.0,45,м,сантехник,404000,0
127,Кулагин Климент,172.0,110.0,80,м,врач,478000,1
129,Яковлев Илья,173.0,63.0,52,м,продавец,28000,0
131,Николаев Андрей,177.0,107.0,70,м,инженер,243000,1
132,Красильников Влас,190.0,118.0,81,м,продавец,26000,0
133,Кулагин Геннадий,192.0,91.0,75,м,инженер,328000,0
135,Блохин Даниил,193.0,62.0,88,м,инженер,305000,1
136,Сергеев Тарас,171.0,94.0,37,м,сантехник,76000,1
137,Селезнёв Кирилл,177.0,69.0,87,м,программист,158000,0
138,Кузнецов Андрей,181.0,67.0,83,м,бухгалтер,344000,1
139,Фокин Антоний,191.0,93.0,75,м,бухгалтер,386000,0
140,Стрелков Максим,182.0,99.0,40,м,бухгалтер,170000,0
141,Якушев Августин,172.0,92.0,40,м,преподаватель,370000,0
142,Попов Юрий,193.0,78.0,76,м,инженер,322000,0
143,Сазонов Болеслав,189.0,63.0,80,м,продавец,259000,2
144,Сысоев Аким,188.0,58.0,36,м,студент,317000,1
145,Крюков Ренат,185.0,104.0,84,м,сантехник,351000,0
146,Коновалов Кир,182.0,93.0,81,м,преподаватель,17000,1
147,Красильников Фёдор,177.0,104.0,79,м,программист,11000,1
148,Орлов Всеволод,187.0,117.0,78,м,автослесарь,57000,1
150,Мельников Алексей,191.0,95.0,63,м,преподаватель,79000,2
151,Аксёнов Ярослав,179.0,90.0,72,м,врач,299000,1
152,Васильев Рустам,190.0,90.0,84,м,студент,160000,2
153,Матвеев Евстахий,190.0,116.0,21,м,преподаватель,236000,0
154,Шубин Антоний,172.0,93.0,45,м,преподаватель,130000,0
155,Силин Андрей,175.0,62.0,51,м,инженер,173000,0
156,Корнилов Аристарх,177.0,52.0,26,м,врач,18000,2
157,Бирюков Терентий,184.0,105.0,64,м,врач,410000,0
158,Борисов Иннокентий,191.0,87.0,22,м,программист,221000,2
159,Устинов Ян,178.0,102.0,83,м,преподаватель,470000,0
160,Емельянов Антоний,171.0,101.0,82,м,автослесарь,29000,0
161,Куликов Дамир,191.0,105.0,74,м,бухгалтер,299000,0
162,Федотов Макарий,173.0,71.0,70,м,программист,383000,0
163,Евдокимов Димитрий,176.0,100.0,54,м,врач,214000,0
164,Морозов Роман,165.0,86.0,21,м,врач,389000,0
165,Родионов Данислав,177.0,96.0,22,м,студент,355000,1
166,Суханов Диомид,170.0,89.0,46,м,инженер,332000,2
167,Мамонтов Святослав,170.0,80.0,47,м,сантехник,448000,0
168,Панов Никифор,172.0,116.0,25,м,автослесарь,256000,0
169,Шашков Арсен,176.0,83.0,20,м,автослесарь,206000,1
170,Мухин Семен,184.0,99.0,67,м,бухгалтер,402000,1
172,Фомичёв Семён,181.0,78.0,61,м,сантехник,360000,1
173,Белоусов Кирилл,170.0,99.0,75,м,программист,486000,2
175,Лобанов Мартин,169.0,77.0,32,м,бухгалтер,360000,1
176,Миронов Марат,176.0,115.0,33,м,врач,23000,1
178,Лобанов Елисей,168.0,107.0,62,м,продавец,449000,0
179,Шестаков Августин,175.0,69.0,43,м,преподаватель,445000,0
180,Зиновьев Николай,189.0,91.0,32,м,бухгалтер,193000,3
182,Гордеев Константин,168.0,70.0,59,м,студент,72000,1
183,Фёдоров Виктор,167.0,82.0,54,м,врач,303000,0
184,Дементьев Мирослав,183.0,87.0,32,м,автослесарь,452000,1
185,Рогов Трофим,174.0,51.0,51,м,автослесарь,208000,0
186,Волков Фаддей,172.0,90.0,18,м,сантехник,380000,0
187,Исаков Кондрат,174.0,111.0,49,м,автослесарь,108000,0
188,Николаев Мирон,184.0,101.0,73,м,бухгалтер,238000,0
189,Кулагин Аркадий,167.0,56.0,31,м,врач,395000,0
190,Осипов Глеб,166.0,70.0,57,м,сантехник,182000,1
191,Агафонов Серафим,178.0,66.0,56,м,инженер,139000,3
192,Терентьев Радик,178.0,111.0,68,м,продавец,386000,1
193,Корнилов Потап,188.0,98.0,67,м,студент,99000,0
195,Власов Леонид,169.0,104.0,45,м,бухгалтер,476000,0
196,Беспалов Потап,192.0,93.0,28,м,продавец,327000,0
197,Зайцев Димитрий,177.0,98.0,64,м,студент,324000,0
198,Селиверстов Климент,188.0,61.0,46,м,программист,287000,1
199,Кудрявцев Митрофан,181.0,83.0,72,м,продавец,445000,0
200,Зыков Макар,188.0,72.0,85,м,сантехник,482000,0
201,Степанов Никита,172.0,81.0,36,м,автослесарь,19000,0
202,Антонов Егорий,166.0,117.0,80,м,программист,355000,0
203,Цветков Филимон,174.0,71.0,27,м,автослесарь,194000,1
204,Журавлёв Остап,181.0,90.0,63,м,продавец,200000,1
205,Белоусов Пётр,173.0,68.0,68,м,преподаватель,367000,2
207,Беляев Арсен,180.0,114.0,51,м,автослесарь,294000,1
208,Сазонов Марк,170.0,73.0,36,м,инженер,428000,1
209,Дорофеев Ярослав,172.0,97.0,18,м,автослесарь,403000,0
210,Кошелев Климент,184.0,91.0,23,м,инженер,470000,1
211,Киселёв Тихон,191.0,59.0,78,м,инженер,122000,0
212,Лапин Пётр,176.0,113.0,33,м,сантехник,491000,0
213,Суворов Григорий,179.0,101.0,57,м,преподаватель,278000,0
214,Дементьев Юлий,188.0,59.0,70,м,инженер,176000,1
215,Гришин Терентий,175.0,63.0,46,м,инженер,102000,1
216,Дроздов Валентин,178.0,106.0,86,м,бухгалтер,487000,2
217,Рожков Глеб,187.0,66.0,78,м,студент,264000,0
218,Суворов Никита,167.0,103.0,72,м,врач,105000,0
219,Назаров Евдоким,176.0,113.0,39,м,инженер,361000,1
220,Исаев Семён,177.0,75.0,34,м,программист,254000,0
221,Фомичёв Ренат,171.0,119.0,34,м,автослесарь,388000,0
222,Новиков Платон,169.0,109.0,59,м,программист,343000,1
223,Носков Август,183.0,83.0,46,м,бухгалтер,277000,1
224,Игнатов Марат,185.0,103.0,49,м,сантехник,460000,1
225,Дорофеев Герман,176.0,76.0,80,м,программист,123000,0
226,Буров Марат,178.0,106.0,47,м,врач,21000,1
227,Авдеев Еремей,186.0,73.0,73,м,сантехник,422000,1
229,Савельев Гордей,167.0,53.0,44,м,автослесарь,412000,0
230,Михайлов Святослав,173.0,68.0,53,м,студент,182000,0
231,Васильев Игнатий,171.0,74.0,47,м,инженер,69000,0
232,Воронов Эрик,177.0,117.0,25,м,врач,12000,0
233,Ковалёв Аристарх,172.0,109.0,63,м,автослесарь,15000,1
234,Мышкин Матвей,180.0,58.0,26,м,бухгалтер,282000,2
235,Данилов Чарли,167.0,114.0,78,м,преподаватель,117000,0
236,Фокин Виссарион,176.0,81.0,43,м,продавец,57000,0
237,Мухин Всеволод,172.0,83.0,76,м,сантехник,76000,1
238,Баранов Егорий,184.0,53.0,32,м,преподаватель,390000,1
239,Соболев Захар,192.0,115.0,36,м,студент,499000,1
240,Киселёв Болеслав,167.0,99.0,79,м,программист,145000,1
241,Антонов Тимофей,185.0,73.0,18,м,врач,294000,2
242,Горшков Болеслав,191.0,115.0,69,м,продавец,154000,1
243,Исаев Егорий,191.0,112.0,36,м,врач,52000,2
244,Большаков Аркадий,168.0,73.0,51,м,студент,415000,1
245,Цветков Агафон,170.0,84.0,44,м,автослесарь,226000,0
246,Блохин Артём,172.0,61.0,40,м,бухгалтер,245000,1
247,Морозов Платон,178.0,93.0,38,м,автослесарь,189000,0
248,Панфилов Сергей,182.0,87.0,21,м,преподаватель,54000,0
249,Бирюков Рустам,169.0,102.0,50,м,студент,250000,0
250,Галкин Мирослав,181.0,93.0,70,м,инженер,415000,0
251,Пестов Геннадий,174.0,84.0,18,м,врач,389000,0
252,Носков Лукьян,177.0,100.0,28,м,студент,22000,1
253,Фокин Юлиан,182.0,72.0,20,м,программист,62000,3
254,Воронцов Чарли,175.0,72.0,70,м,преподаватель,408000,1
255,Михайлов Радий,166.0,104.0,53,м,студент,484000,2
256,Воронцов Алексей,168.0,119.0,83,м,инженер,59000,0
257,Русаков Никита,175.0,100.0,72,м,студент,459000,0
258,Субботин Илья,177.0,52.0,72,м,врач,402000,1
259,Куликов Семён,182.0,57.0,49,м,продавец,156000,0
260,Носов Игнатий,185.0,50.0,51,м,бухгалтер,35000,1
261,Ковалёв Яков,176.0,92.0,37,м,программист,354000,0
262,Исаев Григорий,186.0,85.0,23,м,программист,131000,1
263,Шестаков Никодим,193.0,90.0,89,м,студент,431000,1
264,Воронов Савва,193.0,77.0,43,м,преподаватель,433000,0
265,Мамонтов Денис,193.0,62.0,74,м,продавец,481000,1
266,Прохоров Илья,180.0,117.0,70,м,преподаватель,448000,1
267,Михайлов Болеслав,177.0,76.0,19,м,сантехник,354000,1
268,Галкин Григорий,191.0,89.0,40,м,инженер,250000,0
269,Горшков Арсентий,185.0,79.0,31,м,инженер,262000,0
271,Павлов Борис,174.0,110.0,26,м,инженер,13000,0
272,Панов Семен,183.0,76.0,76,м,бухгалтер,126000,1
273,Власов Климент,166.0,56.0,60,м,преподаватель,82000,0
274,Осипов Феликс,168.0,67.0,21,м,программист,95000,1
275,Моисеев Анатолий,177.0,74.0,82,м,преподаватель,400000,0
276,Борисов Филимон,165.0,96.0,53,м,продавец,143000,1
277,Кабанов Виктор,188.0,72.0,27,м,продавец,40000,0
278,Константинов Бронислав,168.0,107.0,83,м,сантехник,185000,0
279,Муравьёв Вадим,193.0,83.0,34,м,автослесарь,322000,0
280,Лобанов Ренат,186.0,86.0,71,м,автослесарь,375000,1
281,Фомин Герман,168.0,63.0,60,м,продавец,13000,0
282,Евсеев Серафим,165.0,51.0,89,м,инженер,366000,1
283,Тимофеев Владимир,180.0,99.0,44,м,врач,348000,1
284,Брагин Никодим,173.0,101.0,53,м,программист,270000,0
285,Соловьёв Артемий,182.0,108.0,25,м,автослесарь,99000,0
286,Емельянов Аркадий,187.0,96.0,69,м,врач,35000,1
287,Тихонов Константин,182.0,59.0,42,м,продавец,373000,0
288,Доронин Артур,173.0,78.0,56,м,врач,368000,0
289,Кононов Вадим,189.0,106.0,81,м,бухгалтер,285000,1
290,Аксёнов Марк,171.0,51.0,54,м,инженер,260000,4
291,Стрелков Юрий,190.0,62.0,64,м,студент,330000,0
292,Пестов Мирослав,192.0,109.0,38,м,бухгалтер,432000,1
293,Рябов Авраам,175.0,99.0,88,м,преподаватель,229000,2
294,Савин Дамир,184.0,54.0,75,м,продавец,110000,0
295,Виноградов Евдоким,179.0,113.0,36,м,автослесарь,343000,1
296,Кузнецов Савелий,188.0,62.0,70,м,автослесарь,79000,1
297,Медведев Бенедикт,190.0,97.0,68,м,преподаватель,61000,0
298,Данилов Евдоким,172.0,85.0,33,м,преподаватель,61000,1
299,Григорьев Сидор,192.0,114.0,71,м,сантехник,195000,2
300,Коновалов Игнатий,193.0,85.0,82,м,врач,322000,0
301,Денисов Дмитрий,190.0,114.0,39,м,врач,486000,2
302,Карпов Архип,168.0,103.0,33,м,программист,413000,1
303,Новиков Григорий,183.0,109.0,56,м,врач,43000,0
304,Рожков Ярослав,190.0,90.0,36,м,инженер,238000,0
306,Иванов Ренат,174.0,77.0,68,м,студент,360000,0
307,Яковлев Демид,190.0,115.0,47,м,программист,156000,1
308,Котов Давид,184.0,96.0,42,м,бухгалтер,237000,1
309,Шубин Кирилл,165.0,59.0,77,м,программист,65000,0
311,Доронин Тихон,171.0,107.0,18,м,преподаватель,115000,2
312,Поляков Марк,175.0,86.0,47,м,врач,146000,3
313,Гуляев Дмитрий,179.0,52.0,23,м,врач,342000,0
314,Петухов Мирослав,193.0,95.0,37,м,программист,135000,1
315,Кононов Юрий,176.0,71.0,87,м,бухгалтер,178000,0
317,Стрелков Демьян,191.0,92.0,28,м,студент,220000,1
318,Александров Ефим,172.0,114.0,20,м,автослесарь,468000,0
320,Аксёнов Арсентий,169.0,53.0,82,м,автослесарь,469000,2
321,Ларионов Вениамин,173.0,58.0,61,м,сантехник,402000,0
322,Исаков Юлий,192.0,91.0,46,м,продавец,53000,4
323,Гордеев Пётр,194.0,111.0,83,м,врач,198000,1
324,Карпов Бронислав,182.0,74.0,57,м,врач,110000,2
325,Пестов Егор,193.0,79.0,50,м,продавец,82000,1
326,Дьячков Мартин,171.0,91.0,58,м,преподаватель,215000,0
327,Игнатов Всеволод,186.0,112.0,87,м,врач,319000,1
328,Алексеев Герман,176.0,108.0,18,м,врач,170000,1
329,Суворов Диомид,173.0,114.0,57,м,преподаватель,273000,0
330,Лаврентьев Августин,186.0,84.0,82,м,сантехник,279000,0
331,Ефремов Денис,193.0,61.0,88,м,студент,267000,0
332,Ефремов Чарли,184.0,55.0,60,м,преподаватель,393000,3
333,Савин Виссарион,191.0,77.0,79,м,автослесарь,383000,1
334,Родионов Игнат,191.0,92.0,27,м,продавец,256000,1
335,Белозёров Макар,177.0,55.0,26,м,автослесарь,158000,0
336,Зыков Осип,170.0,89.0,36,м,инженер,109000,1
338,Доронин Евстахий,193.0,104.0,65,м,врач,470000,0
339,Комаров Арсений,168.0,83.0,61,м,сантехник,157000,1
340,Антонов Анастасий,172.0,100.0,34,м,студент,349000,2
341,Галкин Илья,185.0,116.0,66,м,программист,352000,0
342,Николаев Харитон,173.0,62.0,39,м,врач,380000,2
343,Ермаков Демид,170.0,92.0,57,м,сантехник,118000,1
344,Тетерин Анастасий,172.0,60.0,31,м,автослесарь,57000,1
346,Корнилов Иероним,167.0,93.0,31,м,инженер,343000,2
348,Беляков Никанор,183.0,113.0,21,м,продавец,348000,0
349,Авдеев Аполлон,181.0,50.0,86,м,врач,88000,2
350,Авдеев Радомир,185.0,81.0,57,м,продавец,271000,0
351,Лобанов Григорий,193.0,63.0,18,м,автослесарь,98000,1
352,Пономарёв Болеслав,179.0,99.0,26,м,продавец,108000,0
353,Цветков Дамир,190.0,114.0,51,м,преподаватель,446000,1
354,Захаров Федот,189.0,96.0,60,м,врач,396000,2
355,Попов Илларион,187.0,58.0,81,м,сантехник,53000,2
356,Красильников Зиновий,173.0,64.0,89,м,программист,426000,1
357,Капустин Ренат,185.0,101.0,18,м,врач,490000,0
358,Мельников Зорийй,166.0,82.0,82,м,продавец,367000,1
359,Цветков Марат,180.0,56.0,74,м,врач,406000,0
360,Цветков Анфим,182.0,104.0,87,м,автослесарь,319000,1
361,Пестов Влас,187.0,62.0,36,м,автослесарь,177000,0
363,Самойлов Леонид,166.0,86.0,61,м,продавец,340000,1
364,Некрасов Никола,174.0,102.0,32,м,бухгалтер,434000,1
365,Артемьев Виталий,184.0,58.0,86,м,студент,301000,1
367,Киселёв Степан,168.0,79.0,25,м,врач,271000,0
368,Зуев Макарий,173.0,99.0,79,м,программист,316000,0
369,Поляков Евстахий,173.0,68.0,61,м,автослесарь,133000,3
370,Беляков Аполлон,192.0,117.0,41,м,инженер,450000,0
371,Веселов Федот,166.0,68.0,82,м,продавец,219000,0
372,Кириллов Спартак,182.0,60.0,30,м,автослесарь,198000,2
373,Лазарев Кир,189.0,59.0,87,м,врач,109000,0
374,Симонов Святослав,180.0,57.0,33,м,сантехник,407000,0
375,Чернов Болеслав,177.0,87.0,18,м,врач,228000,1
376,Маслов Анфим,168.0,74.0,77,м,врач,345000,1
377,Никонов Роман,165.0,117.0,46,м,автослесарь,430000,0
378,Гусев Ян,185.0,91.0,30,м,продавец,250000,1
380,Тетерин Бронислав,189.0,79.0,64,м,автослесарь,53000,0
381,Мухин Данислав,174.0,84.0,28,м,инженер,461000,0
382,Туров Иван,178.0,59.0,58,м,бухгалтер,283000,1
384,Рогов Лукьян,184.0,85.0,88,м,студент,252000,0
385,Гусев Рустам,179.0,93.0,27,м,автослесарь,331000,1
386,Бобылёв Вадим,185.0,65.0,48,м,инженер,267000,0
387,Ларионов Осип,187.0,53.0,80,м,преподаватель,240000,1
389,Устинов Артур,169.0,118.0,52,м,врач,466000,0
390,Беляев Вольдемар,179.0,60.0,60,м,продавец,75000,3
391,Щербаков Фёдор,187.0,106.0,24,м,программист,222000,0
392,Андреев Леонид,169.0,94.0,68,м,преподаватель,127000,3
393,Стрелков Виссарион,190.0,107.0,54,м,преподаватель,177000,0
394,Соловьёв Виссарион,192.0,94.0,24,м,сантехник,285000,0
395,Рожков Эдуард,187.0,89.0,53,м,преподаватель,222000,1
397,Гордеев Архип,176.0,89.0,74,м,продавец,246000,0
398,Ситников Сидор,171.0,76.0,42,м,продавец,375000,1
399,Макаров Тимофей,171.0,109.0,39,м,врач,155000,1
400,Терентьев Анастасий,194.0,105.0,25,м,автослесарь,331000,0
401,Михеев Демьян,181.0,73.0,82,м,инженер,71000,1
403,Одинцов Глеб,189.0,104.0,32,м,продавец,327000,1
404,Миронов Фёдор,185.0,81.0,59,м,бухгалтер,126000,1
405,Фёдоров Антоний,192.0,102.0,83,м,врач,112000,1
406,Ефремов Арсен,172.0,115.0,88,м,студент,33000,0
407,Пахомов Игнат,191.0,79.0,83,м,автослесарь,442000,0
408,Гурьев Яромир,186.0,71.0,80,м,сантехник,389000,0
409,Орехов Павел,171.0,68.0,28,м,бухгалтер,485000,0
410,Шилов Емельян,167.0,117.0,41,м,программист,16000,0
411,Панфилов Родион,165.0,113.0,49,м,сантехник,489000,0
412,Агафонов Данил,180.0,99.0,78,м,студент,55000,0
413,Рыбаков Гордей,188.0,116.0,51,м,преподаватель,111000,0
414,Блинов Чарли,190.0,94.0,40,м,студент,255000,1
415,Комиссаров Владимир,168.0,51.0,30,м,преподаватель,260000,0
416,Терентьев Федот,187.0,56.0,47,м,инженер,483000,0
417,Симонов Вениамин,184.0,117.0,44,м,автослесарь,317000,1
418,Смирнов Константин,185.0,117.0,24,м,продавец,99000,1
419,Зайцев Эльдар,174.0,98.0,53,м,бухгалтер,140000,1
420,Денисов Платон,170.0,81.0,78,м,бухгалтер,441000,1
421,Лебедев Севастьян,190.0,63.0,73,м,продавец,153000,0
422,Герасимов Назар,184.0,111.0,56,м,автослесарь,480000,2
423,Михайлов Радомир,183.0,111.0,31,м,бухгалтер,72000,0
425,Беляев Борис,186.0,57.0,48,м,врач,281000,0
426,Петров Мартын,178.0,53.0,18,м,бухгалтер,74000,2
427,Зуев Лев,193.0,82.0,47,м,преподаватель,114000,1
428,Зыков Артур,177.0,102.0,29,м,врач,122000,2
429,Соболев Болеслав,182.0,88.0,61,м,преподаватель,138000,0
430,Кириллов Сидор,167.0,89.0,43,м,преподаватель,212000,2
431,Фролов Валерий,190.0,117.0,40,м,автослесарь,391000,0
432,Савин Филипп,168.0,87.0,70,м,сантехник,183000,2
433,Гришин Диомид,183.0,86.0,34,м,программист,228000,1
434,Белоусов Демид,168.0,71.0,67,м,преподаватель,241000,0
435,Мышкин Родион,187.0,114.0,18,м,автослесарь,248000,0
436,Суханов Диомид,174.0,71.0,42,м,врач,489000,0
437,Коновалов Леонтий,188.0,82.0,29,м,программист,80000,1
438,Мышкин Иеремия,189.0,101.0,20,м,сантехник,266000,0
439,Ермаков Кир,170.0,79.0,37,м,преподаватель,195000,4
440,Громов Савва,174.0,53.0,67,м,сантехник,276000,1
442,Меркушев Гордей,175.0,91.0,31,м,сантехник,462000,0
443,Игнатов Гавриил,172.0,90.0,82,м,врач,332000,0
444,Соколов Дамир,167.0,80.0,55,м,продавец,323000,1
445,Гордеев Всеволод,189.0,80.0,58,м,врач,180000,3
446,Смирнов Борис,175.0,78.0,23,м,студент,388000,1
447,Беляков Вячеслав,183.0,54.0,82,м,автослесарь,34000,0
448,Лебедев Денис,178.0,97.0,23,м,программист,315000,0
449,Сафонов Игорь,182.0,98.0,85,м,автослесарь,329000,1
450,Носов Данила,189.0,66.0,54,м,инженер,238000,0
451,Иванков Павел,189.0,107.0,25,м,врач,13000,0
452,Васильев Спартак,174.0,93.0,60,м,продавец,370000,0
453,Мясников Юлиан,165.0,107.0,69,м,сантехник,91000,1
454,Доронин Павел,182.0,102.0,18,м,продавец,120000,0
455,Пестов Марк,191.0,118.0,54,м,бухгалтер,204000,1
456,Сафонов Яромир,170.0,106.0,79,м,сантехник,378000,2
457,Пономарёв Елисей,179.0,57.0,44,м,сантехник,390000,1
458,Носов Никон,170.0,112.0,21,м,программист,257000,1
459,Лукин Фома,191.0,63.0,77,м,бухгалтер,324000,1
460,Воробьёв Анфим,181.0,61.0,50,м,инженер,178000,0
462,Константинов Ждан,192.0,94.0,38,м,программист,180000,1
463,Волков Савва,187.0,68.0,46,м,студент,218000,1
464,Зуев Иннокентий,171.0,100.0,75,м,сантехник,255000,1
